sta_name,sta_code,mun_code,mun_name,Tractor Tipo 1 (unidades),Tractor Tipo 2 (unidades),Arados T1 (unidades),Cultivadora T1 (unidades),Desmalezadoras T1 (unidades),Equipo de aspersión de pesticidas T1 (unidades),Equipo de bombeo T1 (unidades),Fertilizadora T1 (unidades),"Otras maquinarias, equipos o implementos T1 (unidades)",Rastras T1 (unidades),Remolque T1 (unidades),Sembradoras T1 (unidades),Sierra T1 (unidades),Trilladoras T1 (unidades),Arados T2 (unidades),Cultivadora T2 (unidades),Desmalezadoras T2 (unidades),Equipo de aspersión de pesticidas T2 (unidades),Equipo de bombeo T2 (unidades),Fertilizadora T2 (unidades),"Otras maquinarias, equipos o implementos T2 (unidades)",Rastras T2 (unidades),Remolque T2 (unidades),Sembradoras T2 (unidades),Sierra o motosierra T2 (unidades),Trilladoras T2 (unidades),Productores de Algodón,Productores de Amaranto,Productores de Arroz,Productores de Avena forrajera,Productores de Brócoli,Productores de Calabaza/calabacita,Productores de Cebada grano,Productores de Cebolla,Productores de Chile,Productores de Frijol,Productores de Jitomate (Tomate rojo),Productores de Maíz forrajero,Productores de Maíz grano amarillo,Productores de Maíz grano blanco,Productores de Melón,Productores de Papa,Productores de Sandia,Productores de Sorgo forrajero,Productores de Sorgo grano,Productores de Soya,Productores de Tomate de cáscara (tomatillo),Productores de Trigo grano,Superficie sembrada de Algodón (ha),Superficie sembrada de Amaranto (ha),Superficie sembrada de Arroz (ha),Superficie sembrada de Avena forrajera (ha),Superficie sembrada de Brócoli (ha),Superficie sembrada de Calabaza/calabacita (ha),Superficie sembrada de Cebada grano (ha),Superficie sembrada de Cebolla (ha),Superficie sembrada de Chile (ha),Superficie sembrada de Frijol (ha),Superficie sembrada de Jitomate (Tomate rojo) (ha),Superficie sembrada de Maíz forrajero (ha),Superficie sembrada de Maíz grano amarillo (ha),Superficie sembrada de Maíz grano blanco (ha),Superficie sembrada de Melón (ha),Superficie sembrada de Papa (ha),Superficie sembrada de Sandia (ha),Superficie sembrada de Sorgo forrajero (ha),Superficie sembrada de Sorgo grano (ha),Superficie sembrada de Soya (ha),Superficie sembrada de Tomate de cascara (Tomatillo) (ha),Superficie sembrada de Trigo grano (ha),Producción de Algodón (ton),Producción de Amaranto (ton),Producción de Arroz (ton),Producción de Avena forrajera (ton),Producción de Brócoli (ton),Producción de Calabaza/calabacita (ton),Producción de Cebada grano (ton),Producción de Cebolla (ton),Producción de Chile (ton),Producción de Frijol (ton),Producción de Jitomate (Tomate rojo) (ton),Producción de Maíz forrajero (ton),Producción de Maíz grano amarillo (ton),Producción de Maíz grano blanco (ton),Producción de Melón (ton),Producción de Papa (ton),Producción de Sandia (ton),Producción de Sorgo forrajero (ton),Producción de Sorgo grano (ton),Producción de Soya (ton),Producción de Tomate de cáscara (tomatillo) (ton),Producción de Trigo  (ton)
Hidalgo,13,13005,Ajacuba,4,247,1,1,1,0,0,0,3,3,0,2,0,0,138,67,7,19,3,3,104,85,14,21,0,7,0,0,0,98,0,7,54,0,7,145,0,29,11,1747,0,0,0,0,0,0,0,12,0,0,0,185.597,0.95,12.33,169.473,0,7.8915,186.7005,0,68.51,40.05,4255.1757,0,0,0,0,0,0,0,21.255,0,0,0,3505.262,3,90.1336,57.3763,0,71.0076,104.3822,0,2034.3662,331,29605.9432,0,0,0,0,0,0,0,0
Hidalgo,13,13006,Alfajayucan,11,387,3,4,0,0,0,0,8,4,2,4,0,0,251,105,14,23,0,2,384,147,37,55,0,9,0,0,0,92,0,18,0,0,140,430,11,60,81,2589,3,0,0,4,0,0,7,0,0,0.1,0,128.7082,0,13.94,0,0,180.35,510.7945,0.34,176.62,141.5982,4634.1986,40.05,0,0.05,7.07,0,0,24.25,22.16,0,0.01,0,1111.1247,0,6.1441,0,0,383.4365,128.2865,5.9983,2241.6052,972.4344,22590.0143,1343.9233,0,1.6495,193.1118,0,0,280.2229,0
Hidalgo,13,13007,Almoloya,45,447,21,3,0,2,0,1,5,12,1,8,0,8,155,84,1,9,0,2,69,168,20,55,0,20,0,0,0,58,0,14,1814,0,0,93,3,8,43,437,0,9,0,0,0,0,10,21,0,0,0,212.4,0.6,4.385,12396.9674,0.52,0,68.0544,1.5,15.908,87.76,1127.0731,0,27.58,0,0,0,0,8.91,115.74,0,0,0,1601.4929,6,5.1991,24361.4103,8.15,0,25.5284,26.805,115.9498,104.12,1759.1716,0,314.7974,0,0,0,0,8.051,0
Hidalgo,13,13008,Apan,48,742,15,0,0,2,0,0,4,12,0,12,0,9,221,45,1,9,1,0,58,227,7,101,0,30,0,0,0,91,0,18,3121,0,0,207,0,37,53,1175,0,0,0,0,0,0,3,39,0,0,0,216.865,0,8.7255,17992.9187,0,0,178.418,0,114.56,118.37,2422.6682,0,0,0,0,0,0,10.35,187.23,0,0,0,1443.7042,0,40.444,32098.5357,0,0,35.6919,0,973.3484,142.321,2609.6549,0,0,0,0,0,0,57.17,0
Hidalgo,13,13010,Atitalaquia,25,94,2,3,0,4,5,4,25,2,1,3,1,1,44,23,3,12,2,11,32,27,1,11,0,3,0,0,0,76,0,4,0,0,6,48,0,22,0,1187,0,0,0,0,0,0,0,0,0,0,0,253.917,0.56,5.635,0,0,8.32,39.765,0,168.935,2.63,1623.9269,0,0,0,0,0,0,0,5,0,0,0,7144.5025,2.5,15.8291,0,0,30.8402,35.6667,0,9130.91,28.1497,13559.5094,0,0,0,0,0,0,0,0
Hidalgo,13,13011,Atlapexco,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,4,0,46,0,0,0,0,0,0,0,0,0,0,7,0,0,33,214,0,0,1144,1592,0,0,0,0,0,0,0,0,0,0,0,0,0,4.439,0,0.25,8.215,79.9063,0,0.5,883.6455,1190.2647,0.25,0,0,0,0,0,0.35,0,0,0,0,0,0,13.09,0,0.2,1.7639,31.5315,0,0.75,736.2246,951.7641,0.7017,0,0,0,0,0,0.063,0
Hidalgo,13,13013,Atotonilco de Tula,0,68,0,0,0,0,0,0,0,0,0,0,0,0,22,13,2,10,2,0,39,10,5,3,0,1,0,0,0,19,0,19,16,0,0,339,0,10,27,1562,0,0,0,0,0,0,0,25,0,0,0,54.1435,0,27.1724,36.98,0,0.026,552.2123,0.01,28.77,48.19,2791.8336,0,0.0001,0.0001,0,0,0,0.001,67.59,0,0,0,518.3391,0,25.8997,11.2229,0,0.01,22.4429,0.8525,1283.165,229.4115,3854.961,0,0,0,0,0,0,0.015,0
Hidalgo,13,13012,Atotonilco el Grande,9,189,0,0,0,1,1,2,5,1,1,0,0,1,31,12,1,10,8,0,104,15,14,24,0,0,0,0,0,102,0,188,0,0,22,765,127,48,419,3705,0,3,0,7,0,0,13,0,0,0,0,199.8454,0.1,304.2579,0,0,12.1871,1448.6496,78.3934,240.486,844.3852,8306.3748,0,3.05,1,11.19,50,0,23.2,0,0,0,0,1019.558,0.8578,18.513,0,0,112.575,94.0467,1402.1092,496.2923,588.5329,3634.3405,0,50.1875,0,11.684,12,0,42.4,0
Hidalgo,13,13014,Calnali,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,37,8,0,196,0,2,0,7,0,0,0,0,0,0,169,0,0,232,1213,3,10,369,1577,0,0,4,0,0,0,13,0,0,0.01,0,0,0,132.6392,0,0,66.0106,991.4597,2.5,5.425,315.4802,1330.9918,0.49,0,1.99,0,0,0,6.66,0,0,0.0177,0,0,0,723.9122,0,0,172.6916,127.9314,0.744,7.586,310.9526,1158.1818,16.5814,0,79.4388,0,0,0,3.0068,0
Hidalgo,13,13015,Cardonal,0,105,0,0,0,0,0,0,0,0,0,0,0,0,85,32,1,7,3,0,83,64,21,17,2,1,0,0,0,226,0,111,71,0,13,1180,0,12,24,3218,0,4,0,0,0,0,0,0,0,0,0,287.038,0.4,101.895,136.631,0.17,12.9308,1807.994,0,15.321,22.42,5116.3769,0,6.02,0,0.3,0,0,0,0,0,0,0,946.3388,5.0601,38.585,98.2967,0.007,6.8907,56.5113,0,120.7793,41.3225,4118.6569,0,0.078,0,0,0,0,0,0
Hidalgo,13,13017,Chapantongo,4,96,2,3,0,0,0,0,4,2,0,0,0,0,80,17,0,10,1,0,70,50,5,31,0,1,0,0,0,175,0,4,20,0,0,537,0,33,35,1518,0,0,0,0,0,0,0,4,0,1.25,0,310.745,0,0.7333,58.19,0.005,0.3,666.7406,0,93.32,74.839,3219.9043,0,0,0,1.78,0,0,0,10.08,0,0.13,0,1869.2599,0,1.331,56.05,0.05,0.426,79.3919,0,725.563,173.055,1794.3045,0,0,0,28.48,0,0,0,0
Hidalgo,13,13018,Chapulhuacán,0,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,19,0,0,102,0,0,0,1,0,0,0,0,0,0,34,0,0,67,407,0,0,923,619,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0255,0,0,27.4129,195.5656,0,0.05,665.9893,474.0951,0,0,0,0,0,0,0.5,0,0,0,0,0,0,117.504,0,0,7.4838,54.3177,0,0.25,502.7187,363.8086,0,0,0,0,0,0,0.1,0
Hidalgo,13,13019,Chilcuautla,0,226,0,0,0,0,0,0,1,0,0,0,0,0,86,74,6,4,1,2,93,80,8,14,0,0,0,0,0,19,48,38,0,3,32,272,251,41,20,2486,0,0,0,0,0,0,75,5,0,0,0,38.74,28.2955,37.178,0,1.86,33.8256,248.7306,21.123,33.3048,35.0271,3365.7506,0.99,0,0,0,0.485,0,80.6614,7.95,0,0,0,936.8928,463.1666,118.9239,0,10.5,43.5924,129.0544,465.3713,581.0635,276.1124,16271.9565,20,0,0,0,0.001,0,724.5206,0
